ROS Seconds,ROS Nanoseconds,X,Y,Z,Rx0,Rx1,Rx2,Ry0,Ry1,Ry2,Rz0,Rz1,Rz2
1685105477,127241295,15.146,12.899,-189.188,-0.210001,-0.233923,-0.949305,0.14806,-0.967367,0.20562,-0.966426,-0.0973734,0.237783
1685105477,152177123,15.148,12.9002,-189.193,-0.209981,-0.23389,-0.949318,0.14804,-0.967376,0.205593,-0.966433,-0.0973664,0.237757
1685105477,177163345,15.145,12.8997,-189.194,-0.210026,-0.233924,-0.949298,0.14815,-0.967358,0.205597,-0.966405,-0.097458,0.237825
1685105477,202227855,15.1469,12.8992,-189.198,-0.209991,-0.233921,-0.949308,0.148073,-0.967366,0.205616,-0.966426,-0.0973892,0.237776
1685105477,227188197,15.1468,12.9011,-189.2,-0.210014,-0.233896,-0.949308,0.148051,-0.967374,0.205594,-0.966423,-0.0973689,0.23779
1685105477,252210002,15.1471,12.8981,-189.2,-0.210032,-0.233915,-0.9493,0.148107,-0.967364,0.205598,-0.966412,-0.0974157,0.237823
1685105477,277155709,15.1455,12.9011,-189.202,-0.210049,-0.233898,-0.9493,0.148114,-0.967368,0.205577,-0.966406,-0.097424,0.237837
1685105477,302305322,15.1466,12.9017,-189.202,-0.210045,-0.2339,-0.949301,0.148155,-0.967363,0.20557,-0.966401,-0.0974651,0.237844
1685105477,327295741,15.1496,12.8966,-189.204,-0.209999,-0.233931,-0.949304,0.148111,-0.96736,0.205616,-0.966418,-0.0974231,0.237793
1685105477,352191817,15.1532,12.8981,-189.206,-0.209956,-0.233922,-0.949316,0.14812,-0.96736,0.205609,-0.966427,-0.0974432,0.237753
1685105477,377166997,15.1535,12.9041,-189.205,-0.209967,-0.233861,-0.949329,0.148146,-0.967371,0.205539,-0.96642,-0.0974824,0.237763
1685105477,402178629,15.1572,12.9021,-189.199,-0.209959,-0.23388,-0.949325,0.148219,-0.967359,0.205542,-0.96641,-0.0975524,0.237772
1685105477,427316286,15.1534,12.9048,-189.201,-0.210006,-0.233843,-0.949324,0.148204,-0.96737,0.205503,-0.966403,-0.0975368,0.237812
1685105477,452176655,15.1497,12.9066,-189.203,-0.210057,-0.233849,-0.949312,0.148244,-0.967365,0.205494,-0.966386,-0.0975643,0.237871
1685105477,477191238,15.1543,12.9053,-189.204,-0.210011,-0.233861,-0.949319,0.14825,-0.967361,0.205509,-0.966395,-0.0975771,0.237828
1685105477,502185627,15.1519,12.907,-189.206,-0.210018,-0.233856,-0.949318,0.148256,-0.967362,0.205503,-0.966392,-0.0975822,0.237834
1685105477,527172284,15.1521,12.9092,-189.207,-0.209995,-0.233836,-0.949327,0.148166,-0.967375,0.205507,-0.96641,-0.0975025,0.23779
1685105477,552143025,15.1482,12.9084,-189.204,-0.210036,-0.233861,-0.949313,0.148235,-0.967363,0.205511,-0.966392,-0.0975565,0.23785
1685105477,577204701,15.1508,12.9089,-189.2,-0.210022,-0.233848,-0.949319,0.148223,-0.967367,0.205502,-0.966396,-0.0975512,0.237831
1685105477,602065054,15.1473,12.9057,-189.201,-0.210064,-0.233891,-0.949299,0.148249,-0.967356,0.205535,-0.966383,-0.0975572,0.237881
1685105477,627096865,15.146,12.9,-189.203,-0.210091,-0.233948,-0.949279,0.148293,-0.96734,0.20558,-0.96637,-0.0975807,0.237921
1685105477,652072960,15.1449,12.9025,-189.205,-0.210045,-0.233934,-0.949293,0.148118,-0.96736,0.205613,-0.966407,-0.0974195,0.23784
1685105477,677087516,15.1492,12.9023,-189.205,-0.209951,-0.233941,-0.949313,0.148037,-0.967364,0.205649,-0.966441,-0.097357,0.237734
1685105477,702073368,15.1524,12.9001,-189.208,-0.209942,-0.233958,-0.949309,0.148061,-0.967358,0.205662,-0.966438,-0.097379,0.237729
1685105477,727202361,15.152,12.9029,-189.208,-0.209939,-0.233928,-0.949318,0.148,-0.96737,0.205647,-0.966449,-0.0973261,0.237711
1685105477,752067708,15.1534,12.9087,-189.209,-0.209904,-0.233875,-0.949338,0.14797,-0.967384,0.205604,-0.96646,-0.0973165,0.237665
1685105477,777121794,15.1548,12.9097,-189.208,-0.209888,-0.233858,-0.949347,0.147885,-0.967396,0.205609,-0.966477,-0.0972395,0.23763
1685105477,802090375,15.151,12.9052,-189.207,-0.209945,-0.23391,-0.949321,0.147998,-0.967375,0.205628,-0.966447,-0.0973271,0.237714
1685105477,827067870,15.1493,12.9114,-189.211,-0.20995,-0.233849,-0.949334,0.147914,-0.967396,0.205586,-0.966458,-0.0972567,0.237694
1685105477,852068457,15.1503,12.91,-189.211,-0.209931,-0.233858,-0.949337,0.14793,-0.967392,0.205594,-0.966462,-0.0972741,0.237683
1685105477,877096395,15.1495,12.9096,-189.209,-0.209937,-0.233862,-0.949333,0.147923,-0.967392,0.205598,-0.966459,-0.0972662,0.237682
1685105477,902105912,15.1485,12.9054,-189.205,-0.20995,-0.233903,-0.94932,0.147936,-0.967382,0.205636,-0.966454,-0.097266,0.237703
1685105477,927023194,15.1476,12.9025,-189.202,-0.209951,-0.233935,-0.949314,0.14798,-0.967371,0.205658,-0.96645,-0.0973006,0.237721
1685105477,952126568,15.145,12.9046,-189.199,-0.209974,-0.233901,-0.949316,0.147933,-0.967384,0.205632,-0.96645,-0.097258,0.237727
